company,type,address,price,sq_meter_price,area,n_rooms,floor,build_year,market
Portal Office Sp. z o.o,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",1114919,13900,80.21,4,4,2020,pierwotny
IDEA Nieruchomoœci,Mieszkanie,"Gdañsk Jasieñ, Eugeniusza Wêgrzyna",489500,8900,55,3,3,2020,pierwotny
Pomorskie Domy,Mieszkanie,"Gdañsk Osowa, Centaura",469000,8411.05,55.76,3,1,2020,pierwotny
Pomorskie Domy,Mieszkanie,"Gdañsk Osowa, Centaura",509000,8729.21,58.31,3,2,2020,pierwotny
Pomorskie Domy,Mieszkanie,"Gdañsk Osowa, Homera",495000,8489.11,58.31,3,1,2020,pierwotny
Pó³noc Nieruchomoœci,Dom szeregowy,Gdañsk £ostowice,680000,5038.16,134.97,4,0,2020,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",666240,12000,55.52,3,0,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87A",563250,12500,45.06,2,3,2022,pierwotny
Cordia Polska,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87B",1590844,13700,116.12,4,2,2022,pierwotny
Interium Investment,Dom bliŸniak,"Gdañsk £ostowice, Wielkopolska",960000,5459.51,175.84,5,0,2021,pierwotny
Orlex Invest,Mieszkanie,"Rumia Janowo, Dêbogórska",270000,5510.20,49,3,3,2021,pierwotny
Orlex Invest,Mieszkanie,"Rumia Janowo, Dêbogórska",299000,5067.80,59,3,1,2021,pierwotny
Orlex Invest,Mieszkanie,"Pogórze , Twardowskiego",399000,3904.11,102.20,4,1,2022,pierwotny
Orlex Invest,Mieszkanie,"Pogórze , Twardowskiego",380000,6669.01,56.98,3,0,2022,pierwotny
DOMO,Mieszkanie,"Pruszcz Gdañski, ul. Aleksandra Czekanowskiego",425000,5968.26,71.21,4,1,2019,pierwotny
DOMO,Mieszkanie,"Pruszcz Gdañski, Aleksandra Czekanowskiego",383856,6600,58.16,3,1,2020,pierwotny
Wille Juszkowo,Dom,"Straszyn Juszkowo, Chabrowa 33",535000,3474.03,154,4,0,2020,pierwotny
Archideon Development,Dom szeregowy,"Straszyn Juszkowo, Chabrowa",535000,3474.03,154,6,1,2020,pierwotny
Dekpol,Mieszkanie,"Gdañsk Sobieszewo, Nadwiœlañska 38",491500,12263,40.08,2,1,0,pierwotny
Dekpol,Mieszkanie,Gdañsk,997530,17276,57.74,3,1,0,pierwotny
,Dom bliŸniak,Czaple,710000,3697.92,192,6,0,2021,pierwotny
Dekpol,Mieszkanie,"Gdañsk Morena, Myœliwska",649000,8401,77.25,3,3,2019,pierwotny
PB SZYMICHOWSKI,Mieszkanie,"Pruszcz Gdañski, ul. Cicha",412542.72,7452,55.36,3,3,2021,pierwotny
PB SZYMICHOWSKI,Mieszkanie,"Pruszcz Gdañski, ul. Cicha",307333.44,7668,40.08,2,0,2021,pierwotny
PB SZYMICHOWSKI,Mieszkanie,"Pruszcz Gdañski, ul. Cicha",303422.76,7668,39.57,2,0,2021,pierwotny
Pepper House,Dom bliŸniak,"Warzenko, Œwierkowa",529000,3590.09,147.35,5,0,2020,pierwotny
Dom & House,Mieszkanie,"Puck, Nowy Œwiat",720327,10605.52,67.92,4,3,2020,pierwotny
MPol Investment,Mieszkanie,"Gdynia Ma³y Kack, Lidzka",378420,10200,37.10,2,2,2021,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski Rotmanka, ul. Zaczarowana",383643,5850,65.58,3,2,2019,pierwotny
ACTIVA AP,Mieszkanie,"Pruszcz Gdañski, ul. D¹browskiego",589000,4120.61,142.94,4,0,2019,pierwotny
PARTNERZY Nieruchomoœci,Mieszkanie,"Gdañsk £ostowice, Wielkopolska",265000,8488,31.22,1,4,2020,pierwotny
Portal Office Sp. z o.o,Mieszkanie,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",773871,12900,59.99,3,0,2020,pierwotny
PB SZYMICHOWSKI,Mieszkanie,"Pruszcz Gdañski, ul. Cicha",482666.04,7452,64.77,3,3,2021,pierwotny
