company,address,price,sq_meter_price,area,n_rooms,floor,build_year,type
Domesta Sp. z o.o.,"Gdañsk Ujeœcisko, Vaclawa Havla","362 218,50 z³",9 450 z³,"38,33",2,1,2022,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Ujeœcisko, Vaclawa Havla","509 094,70 z³",7 776 z³,"65,47",3,,2022,Mieszkanie
Domesta Sp. z o.o.,"Gdañsk Ujeœcisko, Vaclawa Havla","605 828,20 z³",7 776 z³,"77,91",4,4,2021,Mieszkanie
Budner Inwestycje,"Gdañsk Letnica, Strowiejska",1 308 789 z³,9 300 z³,"140,73",1,Parter,2021,Lokal us³ugowy
Budner Inwestycje,"Gdañsk Letnica, Starowiejska 63",474 432 z³,8 400 z³,"56,48",3,5,2021,Mieszkanie
Pepper House,"K¹pino, Akacjowa",569 000 z³,3 368 z³,"168,92",6,,,Dom bliŸniak
Pepper House,"K¹pino, Akacjowa",569 000 z³,3 368 z³,"168,92",6,,,Dom bliŸniak
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",545 790 z³,13 800 z³,"39,55",2,2,2020,Mieszkanie
Dekpol,"Gdañsk £ostowice, Pastelowa",549 900 z³,5 209 z³,"105,57",3,3,,Mieszkanie
Portal Office Sp. z o.o,"Gdañsk Wrzeszcz, Jaœkowa Dolina 73",1 114 919 z³,13 900 z³,"80,21",4,4,2020,Mieszkanie
IDEA Nieruchomoœci,"Gdañsk Jasieñ, Eugeniusza Wêgrzyna",489 500 z³,8 900 z³,55,3,3,2020,Mieszkanie
Pomorskie Domy,"Gdañsk Osowa, Centaura",469 000 z³,"8 411,05 z³","55,76",3,1,2020,Mieszkanie
Pomorskie Domy,"Gdañsk Osowa, Centaura",509 000 z³,"8 729,21 z³","58,31",3,2,2020,Mieszkanie
Pomorskie Domy,"Gdañsk Osowa, Homera",495 000 z³,"8 489,11 z³","58,31",3,1,2020,Mieszkanie
Pó³noc Nieruchomoœci,Gdañsk £ostowice,680 000 z³,"5 038,16 z³","134,97",4,,2020,Dom szeregowy
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 85",666 240 z³,12 000 z³,"55,52",3,Parter,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87A",563 250 z³,12 500 z³,"45,06",2,3,2022,Mieszkanie
Cordia Polska,"Gdañsk Wrzeszcz, Jaœkowa Dolina 87B",1 590 844 z³,13 700 z³,"116,12",4,2,2022,Mieszkanie
Tyszkiewicz - Nieruchomoœci,"Pruszcz Gdañski, Azaliowa",2 460 z³,"102,50 z³",24,1,Parter,2020,Lokal us³ugowy
Interium Investment,"Gdañsk £ostowice, Wielkopolska",960 000 z³,"5 459,51 z³","175,84",5,,2021,Dom bliŸniak
Orlex Invest,"Rumia Janowo, Dêbogórska",270 000 z³,"5 510,20 z³",49,3,3,2021,Mieszkanie
Orlex Invest,"Rumia Janowo, Dêbogórska",299 000 z³,"5 067,80 z³",59,3,1,2021,Mieszkanie
Orlex Invest,"Pogórze , Twardowskiego",399 000 z³,"3 904,11 z³","102,20",4,1,2022,Mieszkanie
Orlex Invest,"Pogórze , Twardowskiego",380 000 z³,"6 669,01 z³","56,98",3,Parter,2022,Mieszkanie
DOMO,"Pruszcz Gdañski, ul. Aleksandra Czekanowskiego",425 000 z³,"5 968,26 z³","71,21",4,1,2019,Mieszkanie
DOMO,"Pruszcz Gdañski, Aleksandra Czekanowskiego",383 856 z³,6 600 z³,"58,16",3,1,2020,Mieszkanie
Wille Juszkowo,"Straszyn Juszkowo, Chabrowa 33",535 000 z³,"3 474,03 z³",154,4,Parter,2020,Dom
